publisher_id,publisher,url,risk,delay_ms,max_pages,notes
science,"Science",https://www.science.org/,high,3500,10,"Metadata-only. Prefer public article metadata, DOI/Crossref, feeds/sitemaps where allowed; no paywall/full text scraping."
cell-press,"Cell Press",https://www.cell.com/,high,3500,10,"Metadata-only. Prefer public article pages, DOI metadata, and low-rate journal/TOC discovery."
mit-press,"MIT Press",https://direct.mit.edu/journals,medium,2500,25,"Journal platform seed. Prefer public TOC/article metadata and DOI/Crossref lookup."
university-of-chicago-press,"University of Chicago Press",https://press.uchicago.edu/,medium,2500,25,"Mostly books/catalog plus journals. Prefer public metadata and low-rate sitemap discovery."
johns-hopkins-university-press,"Johns Hopkins University Press",https://www.press.jhu.edu/,medium,2500,25,"Books/journals via partner platforms. Prefer public catalog metadata and DOI lookup."
duke-university-press,"Duke University Press",https://www.dukeupress.edu/,medium,2500,25,"Books/journals. Prefer public metadata pages, DOI/Crossref, and cautious source discovery."
princeton-university-press,"Princeton University Press",https://press.princeton.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
stanford-university-press,"Stanford University Press",https://www.sup.org/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
university-of-california-press,"University of California Press",https://www.ucpress.edu/,medium,2500,25,"Books/journals. Prefer public metadata pages and DOI/Crossref for journals."
university-of-texas-press,"University of Texas Press",https://utpress.utexas.edu/,low,2000,15,"Mostly book/journal catalog. Use public metadata only; article-data flexibility limited."
university-of-minnesota-press,"University of Minnesota Press",https://www.upress.umn.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
university-of-wisconsin-press,"University of Wisconsin Press",https://uwpress.wisc.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
university-of-pennsylvania-press,"University of Pennsylvania Press",https://www.pennpress.org/,low,2000,15,"Mostly book/journal catalog. Use public metadata only; article-data flexibility limited."
new-york-university-press,"New York University Press",https://nyupress.org/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
yale-university-press,"Yale University Press",https://yalebooks.yale.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
cornell-university-press,"Cornell University Press",https://www.cornellpress.cornell.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
columbia-university-press,"Columbia University Press",https://cup.columbia.edu/,low,2000,15,"Mostly book catalog. Article-data flexibility is low; use catalog metadata only."
